,district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
249,panchther,phidim (panchther),27.185503000000004,87.92978690000001,1599329700,Humid and overcast throughout the day.,rain,1599349860,1599395100,0.64,0.2952,0.6537,1599329700,0.63,rain,24.27,1599375720,16.19,1599436980,25.77,1599375660,17.71,1599436860,20.28,1.0,1007.4,0.64,1.49,1599376080,213,0.96,6,1599374460,10.528,258.1,16.23,1599351000,24.27,1599375720,17.97,1599350940,25.77,1599375660
250,parasi,bardaghat,27.85150833,84.07735,1599329700,Humid and partly cloudy throughout the day.,rain,1599350760,1599396060,0.64,0.3739,1.0801,1599400440,0.58,rain,34.31,1599376140,21.82,1599435780,38.36,1599385980,22.84,1599435780,22.6,0.76,1006.2,0.97,2.42,1599382860,3,0.41,10,1599373020,14.959,264.3,21.64,1599349620,34.31,1599376140,22.58,1599349800,38.36,1599385980
251,humla,simikot,29.73056889,82.07185,1599329700,Clear throughout the day.,clear-day,1599351180,1599396600,0.64,0.1001,0.4308,1599393300,0.28,rain,21.22,1599378540,10.34,1599436020,22.07,1599378960,11.46,1599435600,13.97,1.0,1009.7,1.04,3.0,1599382200,92,0.19,12,1599373080,15.634,256.8,8.04,1599347940,21.22,1599378540,9.2,1599347520,22.07,1599378960
252,panchther,deurali nawal,27.14367389,87.76559499999999,1599329700,Humid and overcast throughout the day.,rain,1599349920,1599395100,0.64,0.2952,0.5973,1599381240,0.61,rain,26.55,1599378540,18.1,1599437040,29.61,1599378540,19.37,1599437040,22.55,1.0,1007.0,0.78,1.82,1599375840,196,0.93,6,1599375480,14.309,259.5,18.43,1599350820,26.55,1599378540,19.9,1599350820,29.61,1599378540
253,parasi,tribeni,27.67980278,83.778675,1599329700,Humid and partly cloudy throughout the day.,rain,1599350880,1599396120,0.64,0.2545,0.5468,1599383820,0.6,rain,34.46,1599379680,22.98,1599435180,42.35,1599386160,24.16,1599435060,25.04,0.83,1005.5,1.13,2.85,1599382740,70,0.43,8,1599375120,16.093,264.2,23.49,1599348600,34.46,1599379680,24.79,1599348660,42.35,1599386160
254,parbat,kushma,27.45344167,83.93234444,1599329700,Possible light rain overnight and in the evening.,rain,1599350820,1599396060,0.64,0.2103,0.7443,1599332760,0.69,rain,33.22,1599378840,24.26,1599433080,39.02,1599385140,25.48,1599432960,23.62,0.76,1004.8,1.65,4.11,1599387540,86,0.26,10,1599374640,16.077,265.2,24.91,1599347820,33.22,1599378840,26.04,1599348600,39.02,1599385140
255,ilam,himali gaun,26.90963889,87.92308333,1599329700,Humid throughout the day.,rain,1599349920,1599395100,0.64,0.4533,1.6401,1599338340,0.77,rain,26.58,1599378480,19.28,1599436560,29.77,1599378420,20.61,1599436500,22.67,1.0,1006.9,0.99,2.42,1599372720,130,0.99,6,1599372840,13.046,260.3,19.96,1599351000,26.58,1599378480,21.73,1599350760,29.77,1599378420
256,gulmi,darma,27.9365,83.33811667,1599329700,Humid and partly cloudy throughout the day.,rain,1599350940,1599396240,0.64,0.2591,0.8098,1599384660,0.45,rain,29.68,1599378840,18.89,1599436140,33.59,1599379080,19.41,1599436200,21.34,0.88,1006.2,1.06,1.88,1599381960,39,0.41,10,1599372420,15.23,262.9,18.82,1599349020,29.68,1599378840,19.62,1599349080,33.59,1599379080
257,humla,thali,29.91966194,81.87920194,1599329700,Clear throughout the day.,clear-day,1599351240,1599396660,0.64,0.121,0.3938,1599391920,0.3,rain,17.31,1599375780,9.09,1599437040,18.95,1599376260,10.55,1599436560,11.66,1.0,1009.7,1.06,3.14,1599380580,173,0.39,11,1599373320,14.108,254.9,7.1,1599348600,17.31,1599375780,8.82,1599348300,18.95,1599376260
258,jajarkot,maina gaun (d.bas),28.69860389,82.200792,1599329700,Humid throughout the day.,rain,1599351180,1599396540,0.64,0.3773,1.568,1599392100,0.42,rain,28.4,1599378420,19.71,1599438120,36.4,1599385380,20.74,1599438180,23.11,0.99,1007.1,0.85,1.87,1599378360,205,0.26,11,1599372600,15.547,261.9,18.34,1599350700,28.4,1599378420,19.33,1599350820,36.4,1599385380
259,parbat,birganj,28.03413889,83.64522222,1599329700,Humid and mostly cloudy throughout the day.,rain,1599350880,1599396120,0.64,0.3139,0.9133,1599386400,0.45,rain,31.82,1599379500,18.51,1599436260,37.24,1599386040,18.94,1599436260,21.9,0.84,1006.8,0.88,1.62,1599381120,37,0.61,8,1599373800,15.074,263.0,18.96,1599348840,31.82,1599379500,19.72,1599348960,37.24,1599386040
