district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
Bara,Gulariya,27.164166700000003,84.98,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:55:00,2020-09-23 18:02:00,0.23,1.7763,3.94,2020-09-23 12:31:00,0.97,rain,26.72,2020-09-23 15:09:00,23.08,2020-09-24 06:03:00,30.37,2020-09-23 15:09:00,24.47,2020-09-24 05:41:00,24.66,1.0,1005.1,3.16,6.35,1600850400,94,0.96,5,1600841640,12.8,256.2,23.49,2020-09-23 08:25:00,26.72,2020-09-23 15:09:00,25.1,2020-09-24 00:00:00,30.37,2020-09-23 15:09:00
Bara,Kalaiya,27.079,84.9329,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:56:00,2020-09-23 18:02:00,0.23,1.875,3.9074,2020-09-23 12:25:00,0.98,rain,26.11,2020-09-23 15:26:00,23.18,2020-09-24 06:30:00,28.01,2020-09-23 15:24:00,24.55,2020-09-24 06:22:00,24.41,0.99,1004.8,4.1,9.97,1600798500,94,0.97,5,1600841640,13.478,256.4,23.41,2020-09-24 00:00:00,26.11,2020-09-23 15:26:00,24.61,2020-09-24 00:00:00,28.01,2020-09-23 15:24:00
Bara,Nijgadh,27.16416667,84.98,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:55:00,2020-09-23 18:02:00,0.23,1.7763,3.94,2020-09-23 12:31:00,0.97,rain,26.72,2020-09-23 15:09:00,23.08,2020-09-24 06:03:00,30.37,2020-09-23 15:09:00,24.47,2020-09-24 05:41:00,24.66,1.0,1005.1,3.16,6.35,1600850400,94,0.96,5,1600841640,12.8,256.2,23.49,2020-09-23 08:25:00,26.72,2020-09-23 15:09:00,25.1,2020-09-24 00:00:00,30.37,2020-09-23 15:09:00
Bara,Parwanipur,27.20300556,85.170475,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:55:00,2020-09-23 18:01:00,0.23,1.5673,3.7249,2020-09-23 11:58:00,0.97,rain,26.66,2020-09-23 15:11:00,22.56,2020-09-24 05:44:00,30.21,2020-09-23 15:12:00,23.94,2020-09-24 05:37:00,24.56,1.0,1005.5,2.35,4.4,1600845000,95,0.96,5,1600841580,12.343,255.9,23.33,2020-09-23 08:15:00,26.66,2020-09-23 15:11:00,25.06,2020-09-24 00:00:00,30.21,2020-09-23 15:12:00
Bara,Simara Airport,27.2813,84.9919,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 05:55:00,2020-09-23 18:02:00,0.23,1.7021,3.7594,2020-09-23 12:23:00,0.96,rain,26.52,2020-09-23 15:13:00,22.26,2020-09-24 05:39:00,29.79,2020-09-23 15:14:00,23.65,2020-09-24 03:46:00,24.07,1.0,1005.6,2.07,4.3,1600848900,95,0.96,5,1600841640,12.498,255.8,22.73,2020-09-23 08:18:00,26.52,2020-09-23 15:13:00,24.34,2020-09-24 00:00:00,29.79,2020-09-23 15:14:00
Bardiya,Chisapani(Karnali),28.21278611,81.34521111,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.5112,2.3992,2020-09-23 02:35:00,0.91,rain,26.45,2020-09-23 13:17:00,22.28,2020-09-24 06:13:00,28.99,2020-09-23 13:13:00,23.72,2020-09-24 06:01:00,24.52,0.99,1004.0,1.96,7.65,1600798500,84,0.98,5,1600843620,15.819,259.0,23.07,2020-09-23 22:03:00,26.45,2020-09-23 13:17:00,24.24,2020-09-23 22:14:00,28.99,2020-09-23 13:13:00
Bardiya,Kumalgaun,28.33735833,81.33784167,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.7359,3.3304,2020-09-23 02:31:00,0.92,rain,26.9,2020-09-23 14:04:00,22.25,2020-09-24 06:13:00,30.58,2020-09-23 13:59:00,23.67,2020-09-24 06:01:00,24.74,0.99,1004.4,1.51,6.34,1600798500,83,0.98,5,1600843380,15.802,259.0,23.42,2020-09-23 21:58:00,26.9,2020-09-23 14:04:00,24.62,2020-09-24 00:00:00,30.58,2020-09-23 13:59:00
Bardiya,Manpur,28.36353889,81.41428333,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:16:00,0.23,0.6853,2.6974,2020-09-23 02:29:00,0.91,rain,27.35,2020-09-23 14:36:00,22.2,2020-09-24 06:31:00,33.64,2020-09-23 14:16:00,23.68,2020-09-24 06:10:00,25.02,0.99,1004.5,1.22,5.02,1600798500,77,0.98,5,1600842960,15.972,258.8,23.68,2020-09-23 05:34:00,27.35,2020-09-23 14:36:00,25.15,2020-09-23 05:11:00,33.64,2020-09-23 14:16:00
Bardiya,Rajapur,28.64721944,81.28542778,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:17:00,0.23,1.1129,3.7554,2020-09-23 01:43:00,0.93,rain,26.43,2020-09-23 13:00:00,21.67,2020-09-24 05:47:00,29.44,2020-09-23 13:00:00,23.03,2020-09-24 05:43:00,24.45,1.0,1005.2,0.88,2.63,1600798500,68,0.97,5,1600842480,15.129,258.6,22.78,2020-09-23 05:39:00,26.43,2020-09-23 13:00:00,24.26,2020-09-23 05:24:00,29.44,2020-09-23 13:00:00
Bardiya,Rambhapur,28.307825,81.27586389,2020-09-23 00:00:00,Rain and humid throughout the day.,rain,2020-09-23 06:10:00,2020-09-23 18:17:00,0.23,0.7364,3.6078,2020-09-23 02:32:00,0.93,rain,26.69,2020-09-23 13:34:00,22.23,2020-09-24 06:04:00,29.7,2020-09-23 13:27:00,23.64,2020-09-24 05:53:00,24.44,0.99,1004.2,1.8,7.78,1600798500,86,0.97,5,1600843800,15.724,259.1,23.02,2020-09-23 22:52:00,26.69,2020-09-23 13:34:00,24.15,2020-09-24 00:00:00,29.7,2020-09-23 13:27:00
