district,formal_name,lat,long,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,precipAccumulation
Banke,Amlekhganj,27.94748333,81.78569444,2020-10-05 00:15:00,Humid throughout the day.,clear-day,2020-10-05 06:14:00,2020-10-05 18:01:00,0.61,0.0127,0.2427,2020-10-05 00:15:00,0.05,rain,33.23,2020-10-05 14:10:00,22.9,2020-10-06 05:07:00,37.31,2020-10-05 14:16:00,23.62,2020-10-06 05:14:00,21.87,0.7,1006.4,1.56,3.6,1601892000,19,0.12,9,1601878860,16.093,264.7,23.67,2020-10-05 05:34:00,33.23,2020-10-05 14:10:00,24.49,2020-10-05 05:36:00,37.31,2020-10-05 14:16:00,
Banke,Dhakeri,28.10055556,81.66824722,2020-10-05 00:15:00,Humid throughout the day.,clear-day,2020-10-05 06:15:00,2020-10-05 18:01:00,0.61,0.0103,0.2691,2020-10-05 00:15:00,0.06,rain,33.07,2020-10-05 14:02:00,22.51,2020-10-06 05:04:00,37.49,2020-10-05 14:18:00,23.13,2020-10-06 05:06:00,22.08,0.72,1006.6,1.53,3.18,1601890080,19,0.07,9,1601878920,16.093,265.0,23.36,2020-10-05 05:33:00,33.07,2020-10-05 14:02:00,24.17,2020-10-05 05:35:00,37.49,2020-10-05 14:18:00,
Banke,Khajura (Nepalganj),28.11368333,81.59030556,2020-10-05 00:15:00,Humid throughout the day.,clear-day,2020-10-05 06:15:00,2020-10-05 18:01:00,0.61,0.0112,0.2937,2020-10-05 00:15:00,0.06,rain,32.82,2020-10-05 14:15:00,22.41,2020-10-06 05:07:00,37.24,2020-10-05 14:26:00,23.02,2020-10-06 05:11:00,22.07,0.72,1006.6,1.55,3.21,1601890320,25,0.07,9,1601878920,16.093,265.1,23.48,2020-10-05 05:35:00,32.82,2020-10-05 14:15:00,24.3,2020-10-05 05:36:00,37.24,2020-10-05 14:26:00,
Banke,Naubasta,28.230225,81.65270278,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:15:00,2020-10-05 18:01:00,0.61,0.0087,0.1954,2020-10-05 00:00:00,0.06,rain,33.16,2020-10-05 13:53:00,22.55,2020-10-06 04:52:00,38.18,2020-10-05 15:34:00,23.18,2020-10-06 05:01:00,22.58,0.75,1006.9,1.42,2.79,1601888640,24,0.06,9,1601878920,16.093,265.2,22.91,2020-10-05 05:18:00,33.16,2020-10-05 13:53:00,23.72,2020-10-05 05:19:00,38.18,2020-10-05 15:34:00,
Banke,Nepalgunj Airport,28.051994399999995,81.6228389,2020-10-05 00:15:00,Humid throughout the day.,clear-day,2020-10-05 06:15:00,2020-10-05 18:01:00,0.61,0.0125,0.3314,2020-10-05 00:15:00,0.06,rain,32.88,2020-10-05 14:18:00,22.57,2020-10-06 05:10:00,37.0,2020-10-05 14:25:00,23.22,2020-10-06 05:17:00,21.86,0.71,1006.5,1.61,3.42,1601892540,22,0.07,9,1601878920,16.093,265.0,23.63,2020-10-05 05:36:00,32.88,2020-10-05 14:18:00,24.45,2020-10-05 05:38:00,37.0,2020-10-05 14:25:00,
Bara,Gulariya,27.164166700000003,84.98,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:01:00,2020-10-05 17:48:00,0.61,0.041,0.1481,2020-10-05 07:32:00,0.3,rain,31.57,2020-10-05 14:11:00,23.71,2020-10-06 05:18:00,38.47,2020-10-05 15:04:00,24.67,2020-10-06 05:21:00,23.88,0.82,1007.0,1.33,1.93,1601882160,125,0.34,8,1601877060,16.093,258.3,23.99,2020-10-05 05:15:00,31.57,2020-10-05 14:11:00,24.99,2020-10-05 05:20:00,38.47,2020-10-05 15:04:00,
Bara,Kalaiya,27.079,84.9329,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:01:00,2020-10-05 17:48:00,0.61,0.083,0.3225,2020-10-05 07:53:00,0.36,rain,30.51,2020-10-05 14:34:00,23.81,2020-10-06 05:16:00,36.75,2020-10-05 14:44:00,24.79,2020-10-06 05:19:00,23.79,0.83,1006.8,1.33,2.02,1601835300,94,0.34,8,1601877300,16.093,258.2,24.06,2020-10-05 04:51:00,30.51,2020-10-05 14:34:00,25.14,2020-10-05 04:53:00,36.75,2020-10-05 14:44:00,
Bara,Nijgadh,27.16416667,84.98,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:01:00,2020-10-05 17:48:00,0.61,0.041,0.1481,2020-10-05 07:32:00,0.3,rain,31.57,2020-10-05 14:11:00,23.71,2020-10-06 05:18:00,38.47,2020-10-05 15:04:00,24.67,2020-10-06 05:21:00,23.88,0.82,1007.0,1.33,1.93,1601882160,125,0.34,8,1601877060,16.093,258.3,23.99,2020-10-05 05:15:00,31.57,2020-10-05 14:11:00,24.99,2020-10-05 05:20:00,38.47,2020-10-05 15:04:00,
Bara,Parwanipur,27.20300556,85.170475,2020-10-05 00:00:00,Rain overnight.,partly-cloudy-day,2020-10-05 06:00:00,2020-10-05 17:47:00,0.61,0.082,0.9307,2020-10-06 00:00:00,0.32,rain,31.79,2020-10-05 14:08:00,23.33,2020-10-06 05:19:00,38.37,2020-10-05 15:03:00,24.24,2020-10-06 05:22:00,23.5,0.8,1007.2,1.37,2.02,1601913840,122,0.31,7,1601877480,16.093,258.1,23.77,2020-10-05 03:56:00,31.79,2020-10-05 14:08:00,24.71,2020-10-05 05:33:00,38.37,2020-10-05 15:03:00,
Bara,Simara Airport,27.2813,84.9919,2020-10-05 00:00:00,Humid throughout the day.,clear-day,2020-10-05 06:01:00,2020-10-05 17:48:00,0.61,0.0407,0.1383,2020-10-06 00:00:00,0.28,rain,31.27,2020-10-05 13:42:00,23.16,2020-10-06 04:51:00,36.71,2020-10-05 13:59:00,24.13,2020-10-06 04:56:00,23.34,0.83,1007.3,1.31,2.15,1601883720,156,0.37,8,1601876700,16.093,258.3,23.33,2020-10-05 05:32:00,31.27,2020-10-05 13:42:00,24.28,2020-10-05 05:31:00,36.71,2020-10-05 13:59:00,
