district,formal_name,measuring_type,lat,long,elevation (mtr)
Rupandehi,Bhairahawa Airport,PRECIPITATION,28.65843,82.23406,1142
Rupandehi,Bhairahawa Airport,Climatology,27.47027778,83.27611111,95
Rupandehi,Lumbini,Climatology,27.48333333,83.43333333,100
Rupandehi,Paklihawa,Aeronautical,27.5068194,83.4204472,108
Rupandehi,SURAYPURA,Climatology,27.47026389,83.27616389,98
Salyan,PAKHAPANI,PRECIPITATION,28.528895,82.28757889,1143
Salyan,RAMPUR,PRECIPITATION,28.44884389,82.06042111,846
Salyan,Salyan Bazar,PRECIPITATION,28.30773111,81.99386778,649
Salyan,Num,Climatology,28.38210306,82.14225111,1557
Sankhuwasabha,Chainpur (East),Precipitation,28.29675889,82.25800611,895
Sankhuwasabha,Chepuwa,Climatology,27.2920969,87.3169658,1277
Sankhuwasabha,Khadbari,Precipitation,27.75331194,87.41234,2039
Sankhuwasabha,Tumlingtar,Precipitation,27.25,87.25,541
Saptari,Barmajhiya,Climatology,26.73666694,86.93144806,83
Saptari,Pattharkot(East),Climatology,26.540705,86.742525,68
Saptari,Phatepur,Precipitation,27.30127778,87.20433333,477
Saptari,Rajbiraj,Climatology,27.39106194,87.20438389,1064
Sarlahi,Karmaiya,Climatology,26.92800556,85.44511389,90
Sarlahi,Malangwa,Precipitation,27.09985278,85.65964167,189
Sindhuli,Dhap,Precipitation,27.33333333,85.5,880
Sindhuli,Hariharpur Gadhi Valley,Precipitation,27.419825,85.84864444,690
Sindhuli,Nepalthok,Climatology,27.2182917,85.9233533,556
Sindhuli,Sindhuli Madhi,Precipitation,26.85282222,85.55730833,87
Sindhupalchok,Bahrabise,Precipitation,27.79236667,85.57266111,774
Sindhupalchok,Bahunipati,Climatology,27.94456111,85.59513611,2574
Sindhupalchok,Chautara,Precipitation,27.85531,85.8596519,1846
Sindhupalchok,Sarmathang,Precipitation,27.9823645,85.6495195,1653
Sindhupalchok,Tarke Ghyang,Precipitation,27.91245194,85.633379,1284
Sindhupalchok,Thokarpa,Precipitation,27.99931778,85.55444389,2596
Siraha,Chaurikhark,Climatology,26.6561208,86.2116578,63
Siraha,Lahan,Precipitation,27.68336667,85.70658333,1194
Siraha,Namche Bazar,Agrometeorology,26.73284194,86.477195,110
Solukhumbu,Chialsa,Climatology,27.8333333,86.7666667,3857
Solukhumbu,Khumjung,Precipitation,27.6965306,86.7167,2642
Solukhumbu,Salleri,Precipitation,27.81666667,86.71666667,3750
Solukhumbu,Syangboche,Agrometeorology,27.48333333,86.61666667,2770
Solukhumbu,Tengboche,Precipitation,27.4432169,86.568568,1945
Sunsari,Chatara,Climate,27.81666667,86.71666667,3700
Sunsari,Dharan Bazar,Climate,27.81666667,86.71666667,3700
Sunsari,Pusma Camp,Agrometeorology,26.69881889,87.27873778,120
Sunsari,Tarahara,Climatology,26.792175,87.29777778,310
Surkhet,BADHICHAUR,Climate,28.60223611,81.62429167,720
Surkhet,DANDAGAUN,Synoptic,28.58786944,81.63516111,720
SURKHET,RAKAM,Precipitation,28.533333,81.783333,1371
Surkhet,Surkhet (Birendra Nagar),Climatology,28.875515,81.23272611,953
SURKHET,Tisedi,PRECIPITATION,28.42094722,81.72940833,635
Syangia,Chapkot,Climatology,28.09874444,83.87250556,871
Syangja,PANCHAMUL,Precipitation,27.97731194,83.75531944,756
Syangja,Walling,Precipitation,28.03333333,83.76666667,1100
SYANJA,JYAGDI,Precipitation,28.13558056,83.77019722,1575
SYANJA,MALUNGA,Precipitation,28.01891667,83.96333333,1002
SYANJA,THAPREK,Precipitation,27.94259167,83.87190278,455
TANAHU,ATRAULITAR,PRECIPITATION,28.04078056,84.22912222,372
TANAHU,Bandipur,PRECIPITATION,27.86741111,84.54938056,288
TANAHU,KOTAGAUN,PRECIPITATION,27.87053778,83.983424,349
Tanahun,Damauli,Climatology,27.9418333,84.4063778,991
Taplejung,Dovan,Precipitation,27.36369,87.619915,700
Taplejung,Lungthung,Precipitation,27.547311944444,87.793858888889,1807
Taplejung,Olangchuhg G,Climatology,27.683333333333,87.783333333333,3119
Taplejung,Taplethok,Precipitation,27.489211944444,87.773053888889,1388
Terhathum,Terhathum,Climatology,27.12304,87.53619,1525
Udayapur,Gaighat,Precipitation,26.801269,86.6991678,179
Udayapur,Udayapur Gadhi,Climatology,26.9129528,86.5396778,469
