formal_name,district,measuring_type,log,lat,elevation (mtr)
Dipayal (Doti),Doti,Synoptic,80.936900833333,29.262096944444,563
Dipayal (Doti),Doti,Synoptic,80.936900833333,29.262096944444,563
JHINGRANA,DOTI,PRECIPITATION,81.045105,29.341060833333,2249
GAIRA,DOTI,PRECIPITATION,80.600738,29.163852777778,1856
DUMRAKOT,DOTI,PRECIPITATION,81.0118,29.163351944444,1042
CHIURI,DOTI,PRECIPITATION,80.804431944444,28.998363055556,1492
Jhingrana,Doti,Climatology-wrong station,81.045,29.341111111111,2249
Jagat (Setibas),Gorkha,Precipitation,84.9,28.366666666667,1334
Larke Samdo,Gorkha,Precipitation,84.616666666667,28.666666666667,3650
Gorkha,Gorkha,Agrometeorology,84.589444444444,27.971388888889,724
Chhekampar,Gorkha,Precipitation-off,85,28.483333333333,3300
CHUMCHET,Gorkha,Precipitation,84.902644444444,28.426936111111,\N
SAMA GAUN,GORKHA,Precipitation-off,84.65,28.583333,\N
NAMRUNG,GORKHA,Precipitation,84.766667,28.55,\N
MACHHI KHOLA,GORKHA,Precipitation,84.733333333333,28.2,\N
BARPAK,GORKHA,PRECIPITATION,84.75,28.2,1889
Laprak,Gorkha,Precipitation,84.8014833,28.2191278,\N
Ridi Bazar,Gulmi,Precipitation,83.443152777778,27.938566666667,494
Musikot,Gulmi,Precipitation,83.268027777778,28.169980555556,1353
Tamghas,Gulmi,Climatology,83.240779,28.0539068,1547
AGIMIR,GULMI,PRECIPITATION,83.113275,28.164155,1493
BHARSE,GULMI,Precipitation,83.437697222222,28.070402777778,1626
DAUGHA,GULMI,Precipitation,83.338116666667,27.9365,960
Darma,Humla,Precipitation,82.07185,29.730568888889,2288
Simikot,Humla,Climatology,81.816111111111,29.971533333333,2993
KIRMI,HUMLA,PRECIPITATION,81.702758055556,30.051833888889,2859
GHATYA KHOLA,HUMLA,Precipitation,81.879201944444,29.919661944444,2230
THALI,HUMLA,precipitation,81.87973,29.850996944444,2293
GOTHI,HUMLA,PRECIPITATION,81.952645,29.778278055556,1680
Simikot Airport,Humla,Climatology-off,81.816111111111,29.971666666667,2997
Jaubari,I lam,Climatology,88,27.066666666667,3050
Ilam Tea Estate,Ilam,Climatology,87.923083333333,26.909638888889,1208
Himali Gaun,Ilam,Precipitation,88.027388888889,26.886527777778,1654
Soktim Tea E,Ilam,Climate,87.9,26.8,530
Kanyam Tea Estate,Ilam,Climatology,88.078333333333,26.868055555556,1570
Jajarkot,Jajarkot,Climatology,82.200792,28.698603888889,1240
Maina Gaun (D.Bas),Jajarkot,Precipitation,82.268888,28.961315,1913
BHANU THANA,JAJARKOT,Precipitation-off,81.6,28.966667,\N
PIPALCHAUR,JAJARKOT,PRECIPITATION,82.2864,28.7300661,783
JAGATIPUR,JAJARKOT,PRECIPITATION,82.156378055556,28.657218888889,1386
Damak,Jhapa,Climatology,87.7004293,26.6706658,119
Anarmani Birta,Jhapa,Precipitation,87.9885806,26.6250639,122
Sanischare,Jhapa,Precipitation,87.988611111111,26.689722222222,168
Gaida (Kankai) ,Jhapa,Climatology,87.860722222222,26.656888888889,107
Kechana,Jhapa,Climatology,88.00375,26.396166666667,71
Chnadra Gadhi,Jhapa,Rainfall,88.0614307,26.5647011,90
Jumla,Jumla,Synoptic,82.179577777778,29.274661111111,2363
Guthi Chaur,Jumla,Precipitation,82.330419444444,29.230880555556,2727
Dipal Gaun,Jumla,Climatology,82.223011111111,29.263855555556,2422
Jumla,Jumla,Synoptic,82.179577777778,29.274661111111,2363
Jumla A/P ,Jumla,Climatology,82.19415,29.273966666667,2384
CHAUTHA,JUMLA,PRECIPITATION,82.107444444444,29.431111111111,2785
JACHA,JUMLA,PRECIPITATION,81.974333333333,29.377952777778,2380
RUDU(NARAKOT),JUMLA,PRECIPITATION,81.986291666667,29.327677777778,2364
JAMNA (Dillichaur),JUMLA,PRECIPITATION,82.283333,29.316667,2438
TATOPANI,JUMLA,PRECIPITATION,82.066358333333,29.233463888889,2288
RIMICHAUR,Jumla,Precipitation,82.215698055556,29.31988,2692
Mandan,Kabhre,Precipitation,85.635637,27.693823888889,1358
Dolal Ghat,Kabhre,Precipitation,85.704980833333,27.638821944444,659
Dhulikhel,Kabhre,Climatology,85.565502777778,27.616116666667,1543
Budal (Banepa),Kabhre,Precipitation,85.51666667,27.63333333,1475
Panchkhal,Kabhre,Agrometeorology,85.620955555556,27.645202777778,857
Dhangadhi,Kailali,NA,80.6,28.683333333333,187
Tikapur,Kailali,Climatology,81.115119444444,28.536497222222,149
Sandepani,Kailali,Precipitation,80.978508888889,28.664176111111,159
Sitapur,Kailali,Precipitation,80.831765,28.554055,148
Godavari(West),Kailali,Climatology,80.579188888889,28.87623,280
Teghari,Kailali,Climatology-off,80.566666666667,28.833333333333,190
MALAKHETI,KAILALI,PRECIPITATION,80.519076,28.828056111111,185
CHAUMALA,KAILALI,PRECIPITATION,80.742926944444,28.774151944444,171
GOGANEPANI,KAILALI,PRECIPITATION,81.245871944444,28.656296944444,1070
GARMAN DARBAR,KAILALI,PRECIPITATION,80.767402,28.896073888889,1280
BALIYA,KAILALI,PRECIPITATION,81.142781111111,28.628278888889,167
BHAJANI,KAILALI,PRECIPITATION,80.969543055556,28.489843888889,132
Dhangadhi(Attariya),Kaliali,Synoptic,80.559951111111,28.812728888889,184
Thirpu,Kalikot,Precipitation,81.751861111111,29.303222222222,1017
Sheri Ghat,Kalikot,Precipitation,81.588361111111,29.129958333333,1090
Nagma,Kalikot,Climatology,81.910569444444,29.200605555556,2017
Bijayapur (Raskot),Kalikot,Precipitation,81.639138888889,29.2495,1822
MANMA,KALIKOT,Climatology,81.613538888889,29.148797222222,1729
GELA,KALIKOT,PRECIPITATION,81.700527777778,29.096444444444,1732
Mahendra Nagar,Kanchanpur,Agrometeorology,80.23049,28.954771944444,197
Belauri Santipur,Kanchanpur,Precipitation,80.375403888889,28.698575,164
HANMANNAGAR,KANCHANPUR,PRECIPITATION,80.286191944444,28.966433888889,213
KALLAGOTH(Krishnapur),KANCHANPUR,PRECIPITATION,80.440441944444,28.861858888889,189
DODHARA,KANCHANPUR,PRECIPITATION,80.088282777778,28.888237777778,175
PARSIA,KANCHANPUR,PRECIPITATION,80.388163888889,28.773723055556,170
BICHAWA,KANCHANPUR,PRECIPITATION,80.51848,28.773342777778,176
JHALARI,KANCHANPUR,PRECIPITATION,80.369963888889,28.89702,195
Taulihawa,Kapilbastu,Climatology,83.067169444444,27.571075,106
Pattharkot (West),Kapilbastu,Precipitation,83.048458333333,27.756491666667,190
Bhagwanpur,Kapilbastu,Precipitation,82.7911917,27.6699361,148
BANGANGA,KAPILVASTU,Precipitation,83.1612556,27.6932944,140
BAHADUR GANJ,KAPILVASTU,PRECIPITATION,83.85,27.55,\N
Sallyan (Kaski),Kaski,Precipitation,83.796025,28.276525,1591
Pamdur,Kaski,Precipitation,83.833036111111,28.289577777778,1726
Pokhara (Hospital),Kaski,Climatology,84,28.233333333333,866
Pokhara Airport,Kaski,Aeronautical,83.979522222222,28.200183333333,827
Malepatan (Pokhara),Kaski,Agrometeorology,83.9742,28.218494444444,859
Bhadaure Deurali,Kaski,Precipitation,83.822119444444,28.265555555556,1617
Lumle,Kaski,Agrometeorology,83.817911111111,28.296538888889,1738
Lamachaur,Kaski,Precipitation,83.968733333333,28.261680555556,992
Ghandruk,Kaski,Precipitation,83.8,28.383333333333,1960
Siklesh,Kaski,Precipitation,84.105175,28.358055555556,1996
Begnas Tal,Kaski,Precipitation-off,84.1,28.2,900
Khuldi,Kaski,precipitation,83.833333333333,28.433333333333,2100
Pokhara Reg. Off.,Kaski,Climatology-off,84,28.22,827
Pokhara Airport,Kaski,Aeronautical,83.979522222222,28.200183333333,827
GHALE KHARKA,KASKI,Climatology,83.999055555556,28.344727777778,1665
RIVAN,KASKI,PRECIPITATION,83.91145,28.3250167,1506
YAMJAKOT,KASKI,PRECIPITATION,84.099980555556,28.255911111111,1478
PUMDHI BUMDHI,KASKI,Precipitation,83.8915417,28.2120111,1565
BEGNAS,KASKI,Climatology,84.089316666667,28.166030555556,682
NIRMAL POKHARI,KASKI,Precipitation,84.007733333333,28.145216666667,975
Panchase,Kaski,Climatology,83.797233333333,28.228969444444,2492
Jyamirebari,Kaski,Climatology,83.982913888889,28.402666666667,1525
Sundarijal,Kathmandu,Precipitation,85.4277003,27.7726953,1658
Naikap,Kathmandu,Precipitation,85.255475,27.700941666667,1477
Sundarijal,Kathmandu,Precipitation,85.4323905,27.7550853,1384
Nagarjun,Kathmandu,Precipitation,85.277158333333,27.757877777778,1393
Jitpurphedhi,Kathmandu,Precipitation,85.290494444444,27.784191666667,1409
Tarebhir,Kathmandu,Climatology,85.4,27.78333333,1848
Kathmandu (Usaid),Kathmandu,Climatology,85.33333333,27.7,1335
Sundari Jal(Pwr.House),Kathmandu,Precipitation,85.41666667,27.75,1380
Sundari Jal(Water Res.),Kathmandu,Precipitation,85.43333333,27.78333333,1600
Kathmandu ( I. E. ),Kathmandu,Climatology,85.33333333,27.73333333,1324
Thankot,Kathmandu,Precipitation,85.221313888889,27.688197222222,1457
Kathmandu (Lazimpat),Kathmandu,Climatology,85.33333333,27.73333333,1326
Sankhu,Kathmandu,Precipitation,85.4769,27.744366666667,1436
Chilaune Gaun,Kathmandu,Climatology,85.41666667,27.8,1920
Panipokhari(Kathmandu),Kathmandu,Climatology,85.32415,27.728636111111,1329
Gokarna,Kathmandu,Precipitation,85.4,27.73333333,1400
Khudkhu Khol,Kathmandu,Precipitation,85.35,27.6,1450
Kathmandu (L,Kathmandu,Precipitation,85.31666667,27.7,1330
Phutung,Kathmandu,Precipitation,85.31666667,27.76666667,1390
Pharping,Kathmandu,Precipitation,85.3,27.61666667,1500
Panchmane,Kathmandu,Precipitation,85.31666667,27.78333333,1712
Budhanilakan,Kathmandu,Precipitation,85.3577778,27.7972222,1442
Tokha,Kathmandu,Precipitation,85.43333333,27.8,1790
Sundarijal,Kathmandu,Precipitation,85.43333333,27.75,1357
Sivapuri,Kathmandu,Precipitation,85.38333333,27.81666667,2716
Pharping,Kathmandu,Precipitation,85.26666667,27.61666667,1537
Maharajganj,Kathmandu,Precipitation,85.333333333333,27.733333333333,1294
Babarmahal,Kathmandu,AWS,85.326,27.693,1295
Kathmandu Airport,Kathmandu,Aeronautical,85.356247222222,27.703825,1337
Kathmandu Airport,Kathmandu,Aeronautical,85.356247222222,27.703825,1337
Sankhu AWS,Kathmandu,AWS,85.466666666667,27.75,1805
Thankot AWS,Kathmandu,Climatology,85.201666666667,27.703833333333,1730
Buddhanilakantha,Kathmandu,Climatology-off,85.3522048,27.7645793,1428
Aisealukhark,Khotang,Precipitation,86.7486619,27.359795,2064
Dwarpa,Khotang,Climatology,86.85,27.216666666667,1829
Kurle Ghat,Khotang,Precipitation,86.4317585,27.1408985,341
Khotang Bazar,Khotang,Precipitation,86.843372777778,27.029300833333,1305
Diktel,Khotang,Climatology,86.791885833333,27.212521944444,1612
Lele,Lalitpur,Precipitation,85.3540444,27.576825,1594
Tikathali,Lalitpur,Precipitation,85.3697083,27.659325,1305
Lalitpur (Kopundol),Lalitpur,Climatology,85.33333333,27.68333333,1303
Kritipur (Bagban),Lalitpur,Agrometeorology,85.3,27.68333333,1364
Godavari,Lalitpur,Climatology,85.3788333,27.5929167,1527
Khumaltar,Lalitpur,Agrometeorology,85.325775,27.651752777778,1334
Tika Bhairab,Lalitpur,Precipitation,85.3166667,27.5666667,1524
Chapa Gaun,Lalitpur,Precipitation,85.326563888889,27.603258333333,1478
Lubhu,Lalitpur,Precipitation,85.38333333,27.65,1341
Khokana,Lalitpur,Climatology,85.296716666667,27.643772222222,1309
Kunchha,Lamiung,Precipitation,84.344941666667,28.126777777778,820
Khudi Bazar,Lamjung,Climatology,84.3454164,28.2822083,838
Gharedhunga,Lamjung,Precipitation,84.580027777778,28.147505555556,1088
BHUJUNG,LAMJUNG,PRECIPITATION,84.266002777778,28.309647222222,1690
FALENI,LAMJUNG,Precipitation,84.479297222222,28.255966666667,1278
BESISHAHAR,LAMJUNG,Climatology-off,84.383333,28.233333,686
GILUNG,LAMJUNG,Precipitation,84.241538888889,28.218138888889,1430
BHORLETAR,LAMJUNG,Precipitation,84.230619444444,28.143052777778,469
RAINASTAR,LAMJUNG,PRECIPITATION,84.476694444444,28.076216666667,588
Gausala,Mahottari,Precipitation,85.783333333333,26.883333333333,200
Jalesore,Mahottari,Climatology,85.807275,26.652247222222,68
Chisapani Gadhi,Makwanpur,Precipitation,85.1386067,27.5599456,1729
Daman,Makwanpur,Precipitation-off,85.0928,27.6044,2265
Hetaunda N.F.I.,Makwanpur,Climatology,85.0279,27.4227,452
Markhu Gaun,Makwanpur,Precipitation,85.1496,27.619,1535
Hetanuda(Ind. Dist),Makwanpur,Precipitation,85.03333333,27.43333333,466
Makwanpur Gadhi,Makwanpur,Precipitation,85.1562,27.4162,1050
Beluwa(Manahari),Makwanpur,Precipitation,84.8092,27.5347,272
Rajaiya,Makwanpur,Precipitation-off,84.8818972,27.4673639,354
Kulekhani,Makwanpur,Precipitation,85.16666667,27.58333333,1697
SHILINGE,MAKWANPUR,PRECIPITATION,84.7416103,27.6350819,828
Chame,Manang,Climatology-off,84.2333333,28.55,2680
Manang Bhot,Manang,Precipitation,84.022571944444,28.666270833333,3556
Phu Gaun,Manang,Precipitation-off,84.283333333333,28.766666666667,4100
Humde,Manang,Climatology,84.088115833333,28.639896944444,3401
NAAR,MANANG,PRECIPITATION,84.19841,28.680988888889,4195
GOGA,MANANG,PRECIPITATION,84.381044444444,28.544861111111,2256
PISANG GOUN,MANANG,Precipitation,84.149985,28.612865,3214
TAAL,MANANG,Precipitation,84.3730739,28.46717,1670
CHHOSHER,MANANG,CLIMATOLOGY,83.983333,29.2160678,\N
Haraincha,Morang,Precipitation-off,87.370747777778,26.610008888889,93
Biratnagar,Morang,Climatology,87.283333333333,26.466666666667,67
Biratnagar Airport,Morang,Aeronautical,87.267006,26.483967,72
Letang,Morang,Precipitation,87.501666666667,26.734166666667,256
Mugu,Mugu,Precipitation-off,82.55,29.75,3803
Gam Shree Nagar,Mugu,Climatology,82.154277777778,29.550305555556,2113
Rara,Mugu,Climatology,82.081825,29.540125,2989
BAU KHOLA (BAM),MUGU,PRECIPITATION,82.134898888889,29.613876111111,2821
MANGRI,MUGU,PRECIPITATION,82.305803055556,29.589043055556,2257
GAMTHA,MUGU,PRECIPITATION,81.892673888889,29.508678888889,1848
SEROGE,MUGU,PRECIPITATION,82.395073888889,29.57769,2245
Jomsom,Mustang,Climatology,83.729816666667,28.784011111111,2741
Thakmarpha,Mustang,Agrometeorology,83.681833333333,28.738872222222,2655
Lete,Mustang,Climatology,83.609222222222,28.632733333333,2490
Ranipauwa (M.Nath),Mustang,Precipitation,83.862222222222,28.815555555556,3671
Ghami (Mustang),Mustang,Precipitation-off,83.883333333333,29.05,3465
Mustang(Lomangthang),Mustang,Climatology-off,83.966666666667,29.183333333333,3705
Dhiee,Mustang,Precipitation-off,84,29.1,3620
Samar Gaun,Mustang,Precipitation,83.801629,28.96202,3610
Sanda,Mustang,Precipitation,83.683333333333,28.9,3570
Chhoser,Mustang,Climatology,83.979815,29.227131944444,3886
Tatopani,Myagdi,Precipitation,83.640415833333,28.477492777778,1161
Beni Bazar,Myagdi,Climatology,83.566666666667,28.350833333333,835
Gurja Khani,Myagdi,Climatology-off,83.700833333333,28.398555555556,2872
Ghorepani,Myagdi,Precipitation,83.733333333333,28.4,2742
Darbang,Myagdi,Precipitation,83.4,28.383333333333,1160
Bega,Myagdi,Precipitation,83.576185,28.442713888889,1682
Kuhun,Myagdi,Precipitation,83.483333333333,28.383333333333,1550
Muna,Myagdi,Precipitation,83.3,28.5,1970
Baghara,Myagdi,Precipitation,83.383333333333,28.566666666667,2330
Beluwa (Girwari),Nawalparasi,Precipitation,84.074383333333,27.674883333333,237
Dumkauli,Nawalparasi,Agrometeorology,84.2285417,27.680675,183
Parasi,Nawalparasi,Climatology,83.662183333333,27.51925,112
Bara Ghat,Nawalparasi,Precipitation,83.783333333333,27.55,142
Dumkibas,Nawalparasi,Precipitation,83.867702777778,27.591022222222,167
Tamaspur,Nawalparasi,Precipitation,82.95,27.566666666667,150
Tribhuvan Tar,Nawalparasi,Precipitation,84.1,27.616666666667,174
Rambas,Nawalparasi,Precipitation,84.166666666667,27.7,423
